Año,Trimestre,Provincia,Accesos por cada 100 hogares,KPI_Aumento_Acceso,Cumple_Meta_2%,Año_Trimestre
2018,2,Córdoba,63.2743661231958,-0.38226440213035484,False,2018-T2
2018,3,Córdoba,64.2421002602934,1.529425257636581,False,2018-T3
2018,4,Córdoba,65.0892645911237,1.3187058446062498,False,2018-T4
2019,1,Córdoba,65.5173840768055,0.6577420844607113,False,2019-T1
2019,2,Córdoba,68.0713093878985,3.8980880373658544,True,2019-T2
2019,3,Córdoba,68.5923490106902,0.7654320557029468,False,2019-T3
2019,4,Córdoba,70.4829556624422,2.7562937835199977,True,2019-T4
2020,1,Córdoba,70.6880744339108,0.29101896982153014,False,2020-T1
2020,2,Córdoba,72.7135853124239,2.8654209281182736,True,2020-T2
2020,3,Córdoba,75.2203572366921,3.4474602146180846,True,2020-T3
2020,4,Córdoba,78.0796087633819,3.801167172993796,True,2020-T4
2021,1,Córdoba,78.5902806238002,0.6540399836862345,False,2021-T1
2021,2,Córdoba,80.1151879593124,1.9403256018536157,False,2021-T2
2021,3,Córdoba,81.2845665540848,1.45962160803554,False,2021-T3
2021,4,Córdoba,84.5094185304609,3.967360734131936,True,2021-T4
2022,1,Córdoba,85.7574535631355,1.476799928785153,False,2022-T1
2022,2,Córdoba,87.48,2.0086259156428294,True,2022-T2
2022,3,Córdoba,88.31,0.9487882944673047,False,2022-T3
2022,4,Córdoba,89.03,0.8153097044502308,False,2022-T4
2023,1,Córdoba,88.84,-0.2134112097045914,False,2023-T1
2023,2,Córdoba,90.13,1.4520486267447006,False,2023-T2
2023,3,Córdoba,90.05,-0.08876067901919261,False,2023-T3
2023,4,Córdoba,90.67,0.688506385341482,False,2023-T4
2024,1,Córdoba,90.7,0.033087018859602,False,2024-T1
2024,2,Córdoba,90.79,0.09922822491731356,False,2024-T2
2014,1,Entre Ríos,34.3671218212502,,False,2014-T1
2014,2,Entre Ríos,34.6874323714598,0.9320261145975296,False,2014-T2
2014,3,Entre Ríos,34.981647333713,0.8481889322407005,False,2014-T3
2014,4,Entre Ríos,36.0254708519679,2.9839175619638,True,2014-T4
2015,1,Entre Ríos,42.0651933735121,16.765145267252706,True,2015-T1
2015,2,Entre Ríos,42.9319790164588,2.0605768651773237,True,2015-T2
2015,3,Entre Ríos,43.6771816352633,1.735775139829491,False,2015-T3
2015,4,Entre Ríos,44.108548073001,0.9876242504379722,False,2015-T4
2016,1,Entre Ríos,43.8459681446623,-0.5953039485773247,False,2016-T1
2016,2,Entre Ríos,44.7388745451874,2.036461819201042,True,2016-T2
2016,3,Entre Ríos,45.4351408844733,1.5562893487243445,False,2016-T3
2016,4,Entre Ríos,45.208402854677,-0.4990367045913254,False,2016-T4
2017,1,Entre Ríos,44.9072736870412,-0.6660911437278232,False,2017-T1
2017,2,Entre Ríos,45.3893310282472,1.0734504716662587,False,2017-T2
2017,3,Entre Ríos,45.9581216701772,1.2531373101225582,False,2017-T3
2017,4,Entre Ríos,47.8852452937468,4.193216679741144,True,2017-T4
2018,1,Entre Ríos,48.6812024178572,1.66221791123276,False,2018-T1
2018,2,Entre Ríos,49.2026118705284,1.071069379502297,False,2018-T2
2018,3,Entre Ríos,50.2220138583775,2.0718452722216285,True,2018-T3
2018,4,Entre Ríos,54.3747734863994,8.268803476762967,True,2018-T4
2019,1,Entre Ríos,56.7881599616928,4.438430398054078,True,2019-T1
2019,2,Entre Ríos,57.4782345887239,1.2151734225877378,False,2019-T2
2019,3,Entre Ríos,57.9000994579662,0.7339558569620028,False,2019-T3
2019,4,Entre Ríos,57.9922169170451,0.15909723807257697,False,2019-T4
2020,1,Entre Ríos,56.1200605143722,-3.2282890742923724,False,2020-T1
2020,2,Entre Ríos,56.5386547397096,0.745890545200321,False,2020-T2
2020,3,Entre Ríos,58.1901640924315,2.921026968761558,True,2020-T3
2020,4,Entre Ríos,59.4743067609738,2.206803655859296,True,2020-T4
2021,1,Entre Ríos,60.4394497283423,1.622789772476686,False,2021-T1
2021,2,Entre Ríos,61.6602644647879,2.0198971730100292,True,2021-T2
2021,3,Entre Ríos,62.1794014538577,0.8419311749242684,False,2021-T3
2021,4,Entre Ríos,63.1553614361658,1.5695872901451797,False,2021-T4
2022,1,Entre Ríos,63.7009034712316,0.8638095367678422,False,2022-T1
2022,2,Entre Ríos,63.9,0.31254898740693043,False,2022-T2
2022,3,Entre Ríos,63.67,-0.3599374021909184,False,2022-T3
2022,4,Entre Ríos,64.01,0.534003455316481,False,2022-T4
2023,1,Entre Ríos,64.79,1.2185596000624919,False,2023-T1
2023,2,Entre Ríos,64.43,-0.5556413026701642,False,2023-T2
2023,3,Entre Ríos,68.84,6.844637591184225,True,2023-T3
2023,4,Entre Ríos,69.94,1.5979081929110899,False,2023-T4
2024,1,Entre Ríos,69.31,-0.900772090363162,False,2024-T1
2024,2,Entre Ríos,68.64,-0.9666714759774948,False,2024-T2
2014,1,Formosa,17.4184510793687,,False,2014-T1
2014,2,Formosa,17.5404117548517,0.700180945637901,False,2014-T2
2014,3,Formosa,17.7713148314683,1.31640624999998,False,2014-T3
2014,4,Formosa,17.9563113616952,1.0409839225813535,False,2014-T4
2015,1,Formosa,18.1227036739718,0.9266508523100746,False,2015-T1
2015,2,Formosa,18.3602672052786,1.3108614232212747,False,2015-T2
2015,3,Formosa,18.8367517737853,2.595194085027852,True,2015-T3
2015,4,Formosa,19.0654915167863,1.2143268953585324,False,2015-T4
2016,1,Formosa,19.0418783694349,-0.12385281192780974,False,2016-T1
2016,2,Formosa,19.370070664564,1.723528996256471,False,2016-T2
