Año,Trimestre,Total,Provincia,Accesos por cada 100 hab,Población,KPI Penetración,Incremento (%),Cumple Incremento
2016,1,6907356,Catamarca,6.60687952691047,104547933.28477779,6.60687952691047,-0.5496414336830457,False
2016,2,7130079,Catamarca,6.6329805701326,107494344.73102131,6.632980570132601,0.395058561546624,False
2016,3,7206950,Catamarca,6.72059087375157,107236850.6785317,6.720590873751569,1.320828588183498,False
2016,4,7251673,Catamarca,6.7208130408733,107898746.11744475,6.7208130408733,0.003305767690719996,False
2017,1,7305854,Catamarca,6.52734131816727,111926949.18014978,6.527341318167271,-2.8786952044255854,False
2017,2,7429664,Catamarca,6.60818568741958,112431223.20464331,6.60818568741958,1.2385497450132954,False
2017,3,7724943,Catamarca,8.26509123497419,93464703.29706074,8.26509123497419,25.073531918283788,True
2017,4,7870222,Catamarca,7.28060041922938,108098529.61046074,7.28060041922938,-11.911433131904003,False
2018,1,8037053,Catamarca,8.34209853727587,96343299.75949334,8.34209853727587,14.579815632277837,True
2018,2,8110444,Catamarca,8.35838388395506,97033638.47129573,8.35838388395506,0.19521882421336123,False
2018,3,8347035,Catamarca,8.37304655008758,99689341.86700173,8.37304655008758,0.17542465548472386,False
2018,4,8473655,Catamarca,8.19733354162497,103370870.01488847,8.19733354162497,-2.0985552559811382,False
2019,1,8648135,Catamarca,8.18850462737457,105613117.33388858,8.18850462737457,-0.10770470916630082,False
2019,2,8960181,Catamarca,8.17339703245058,109626156.22886881,8.17339703245058,-0.1844976050142777,False
2019,3,9164684,Catamarca,7.85595476521849,116659072.9439506,7.85595476521849,-3.8838473889346026,False
2019,4,8793181,Catamarca,9.26886507149251,94867936.17316177,9.26886507149251,17.985214381955817,True
2020,1,8812426,Catamarca,9.56828644748246,92100357.2412766,9.56828644748246,3.230399554642971,True
2020,2,9031056,Catamarca,11.5566668352857,78145854.06603302,11.5566668352857,20.780945456815925,True
2020,3,9356199,Catamarca,11.9952888012884,77998947.37836626,11.9952888012884,3.7954020156007795,True
2020,4,9571562,Catamarca,12.5674593085451,76161471.98099083,12.5674593085451,4.769960246353078,True
2021,1,9647972,Catamarca,12.4382789182565,77566776.42787878,12.4382789182565,-1.0278958309478226,False
2021,2,9863084,Catamarca,13.3137486714673,74081945.23859069,13.313748671467298,7.038511991605301,True
2021,3,10085541,Catamarca,13.4074723766124,75223283.827852,13.4074723766124,0.7039618026285943,False
2021,4,10489794,Catamarca,14.0542237592254,74638017.57898116,14.054223759225398,4.823812904072589,True
2022,1,10624009,Catamarca,14.8056195749953,71756598.54142493,14.8056195749953,5.346405668805976,True
2022,2,10958684,Catamarca,15.8717901952471,69045040.69920003,15.8717901952471,7.201121269199828,True
2022,3,11091128,Catamarca,16.62,66733622.14199759,16.62,4.714085780802213,True
2022,4,11208114,Catamarca,16.73,66994106.39569635,16.73,0.6618531889289958,False
2023,1,11241895,Catamarca,16.83,66796761.73499704,16.83,0.5977286312014218,False
2023,2,11251897,Catamarca,17.15,65608728.862973765,17.15,1.9013666072489555,False
2023,3,11406908,Catamarca,17.44,65406582.56880734,17.44,1.6909620991253815,False
2023,4,11547661,Catamarca,17.46,66137806.414662085,17.46,0.11467889908256534,False
2024,1,11633156,Catamarca,17.5,66475177.14285715,17.5,0.22909507445589838,False
2024,2,11556107,Catamarca,17.5,66034897.14285715,17.5,0.0,False
2014,1,6398398,Chaco,5.55367146370263,115210236.00006385,5.55367146370263,0.0,False
2014,2,6464468,Chaco,5.60212756727661,115393088.11460364,5.60212756727661,0.8725057629115573,False
2014,3,6595271,Chaco,5.62775722230021,117191817.974414,5.62775722230021,0.45749859702068907,False
2014,4,6598496,Chaco,5.81368220415458,113499427.18376617,5.8136822041545795,3.303713620012494,True
2015,1,6737732,Chaco,7.14308917535775,94325183.88883968,7.14308917535775,22.866866892950366,True
2015,2,6816188,Chaco,7.34122953862533,92848043.56187388,7.341229538625331,2.7738749776654803,False
2015,3,6935068,Chaco,7.4540202988244,93037954.31163172,7.4540202988244,1.536401492496986,False
2015,4,6984831,Chaco,7.53670916277073,92677465.04672283,7.53670916277073,1.10931900680995,False
2016,1,6907356,Chaco,7.52473407557994,91795350.24920653,7.52473407557994,-0.15889013271128682,False
2016,2,7130079,Chaco,7.64289673329407,93290270.0220961,7.64289673329407,1.5703233699328134,False
2016,3,7206950,Chaco,7.7068778032764,93513225.2510366,7.706877803276399,0.8371311587086261,False
2016,4,7251673,Chaco,7.65324009589054,94752979.24984525,7.65324009589054,-0.6959719455141178,False
2017,1,7305854,Chaco,7.65022534015797,95498546.44999439,7.650225340157971,-0.03939188755084366,False
2017,2,7429664,Chaco,7.76358719866201,95698854.27808991,7.76358719866201,1.481810710973086,False
2017,3,7724943,Chaco,8.01210373802466,96415913.38037944,8.01210373802466,3.2010529798065512,True
2017,4,7870222,Chaco,8.23450197946808,95576174.72949333,8.23450197946808,2.7757783562878613,False
2018,1,8037053,Chaco,8.240328535252,97533162.24732557,8.240328535252,0.07075784058889756,False
2018,2,8110444,Chaco,8.35312361429173,97094744.12809457,8.35312361429173,1.3688177426081305,False
2018,3,8347035,Chaco,8.62858350951374,96737025.15362678,8.62858350951374,3.2976872837211957,True
2018,4,8473655,Chaco,8.7108351925502,97277181.95434298,8.7108351925502,0.9532466475612011,False
2019,1,8648135,Chaco,8.72283500340746,99143627.00454289,8.72283500340746,0.13775729412863758,False
2019,2,8960181,Chaco,9.1250113292671,98193642.46991748,9.1250113292671,4.610614848297989,True
2019,3,9164684,Chaco,9.58066438752926,95658125.88038544,9.58066438752926,4.993451973048213,True
2019,4,8793181,Chaco,9.84506318966921,89315638.00653927,9.84506318966921,2.759712598680575,False
2020,1,8812426,Chaco,10.0183580078063,87962777.86373137,10.0183580078063,1.7602204759735285,False
2020,2,9031056,Chaco,10.6461982789206,84828929.19514216,10.6461982789206,6.2668979350217535,True
2020,3,9356199,Chaco,11.1027673619054,84269071.80008082,11.1027673619054,4.288564528135863,True
2020,4,9571562,Chaco,11.5006461780409,83226297.47775169,11.5006461780409,3.583600404892384,True
2021,1,9647972,Chaco,11.5288964774878,83685129.95878975,11.5288964774878,0.24564097538135599,False
2021,2,9863084,Chaco,11.5800413405394,85173132.89263764,11.5800413405394,0.443623230995871,False
2021,3,10085541,Chaco,11.4821345600996,87836812.46035244,11.4821345600996,-0.8454786780168755,False
2021,4,10489794,Chaco,11.7723994581641,89104978.44791853,11.7723994581641,2.527969834748056,False
2022,1,10624009,Chaco,11.7753420404361,90222508.72643474,11.7753420404361,0.024995603338617833,False
2022,2,10958684,Chaco,11.7025439036955,93643605.10144638,11.7025439036955,-0.6182252412763489,False
2022,3,11091128,Chaco,11.72,94634197.95221841,11.720000000000002,0.14916497172030585,False
2022,4,11208114,Chaco,11.66,96124476.84391081,11.66,-0.5119453924914863,False
2023,1,11241895,Chaco,11.53,97501257.58889852,11.53,-1.1149228130360234,False
2023,2,11251897,Chaco,11.46,98184092.49563698,11.460000000000003,-0.6071118820468069,False
2023,3,11406908,Chaco,11.46,99536719.0226876,11.46,-1.1102230246251565e-14,False
2023,4,11547661,Chaco,11.85,97448616.03375527,11.850000000000001,3.4031413612565453,True
2024,1,11633156,Chaco,12.48,93214391.02564102,12.48,5.316455696202516,True
2024,2,11556107,Chaco,11.78,98099380.30560273,11.78,-5.608974358974372,False
2014,1,6398398,Chubut,12.7035901332393,50366848.52779067,12.7035901332393,0.0,False
2014,2,6464468,Chubut,12.6962893613957,50916199.33975231,12.6962893613957,-0.05747014636829917,False
2014,3,6595271,Chubut,12.3882340714514,53238185.21639623,12.388234071451402,-2.4263411235803223,False
2014,4,6598496,Chubut,12.2235557846192,53981804.609611504,12.2235557846192,-1.3293120382000478,False
2015,1,6737732,Chubut,11.5857987745568,58155092.54999765,11.5857987745568,-5.217442627168145,False
2015,2,6816188,Chubut,11.2156780993502,60773748.49403807,11.2156780993502,-3.1946064523355133,False
2015,3,6935068,Chubut,11.2335781697583,61735164.83527718,11.2335781697583,0.15959864619452535,False
2015,4,6984831,Chubut,11.2055521034806,62333662.23722626,11.2055521034806,-0.2494847666004496,False
2016,1,6907356,Chubut,11.1159314993789,62139245.82376157,11.1159314993789,-0.7997874917190506,False
2016,2,7130079,Chubut,11.0748247879331,64380964.36314539,11.0748247879331,-0.3697999708625166,False
2016,3,7206950,Chubut,11.0411695849893,65273429.09213168,11.0411695849893,-0.30388925864064387,False
2016,4,7251673,Chubut,10.959254911599,66169397.99734935,10.959254911599,-0.7419021396217307,False
2017,1,7305854,Chubut,10.9325033920258,66826908.147395685,10.9325033920258,-0.24409980230395423,False
2017,2,7429664,Chubut,10.8971148834405,68180101.60919093,10.8971148834405,-0.32369995522812944,False
2017,3,7724943,Chubut,14.1673718358536,54526295.275531344,14.1673718358536,30.010300775874697,True
2017,4,7870222,Chubut,15.7758159308052,49887891.913292006,15.775815930805202,11.35315790103768,True
2018,1,8037053,Chubut,16.4663265563409,48809022.2946846,16.4663265563409,4.377020044886226,True
2018,2,8110444,Chubut,16.8304851291441,48189009.03786633,16.8304851291441,2.2115349866116407,False
2018,3,8347035,Chubut,17.2863082293932,48286973.07275196,17.2863082293932,2.7083182496016267,False
2018,4,8473655,Chubut,13.0617297060522,64873911.73064698,13.0617297060522,-24.43887073676978,False
2019,1,8648135,Chubut,13.1803680616707,65613759.49089991,13.1803680616707,0.9082897769927767,False
2019,2,8960181,Chubut,14.4038087278961,62207025.71984774,14.4038087278961,9.28229515671295,True
2019,3,9164684,Chubut,14.580466548719,62855903.61170702,14.580466548719,1.2264660282579554,False
